0	12	1	12	0.01
1	36	1	36	0.02
2	60	1	60	0.03
3	84	1	84	0.04
4	108	1	8	0.05
5	132	1	32	0.06
6	156	1	56	0.07
7	180	1	80	0.08
8	204	1	4	0.09
9	228	1	28	0.1
10	252	1	52	0.11
11	276	1	76	0.12
12	300	1	0	0.13
13	324	1	24	0.14
14	348	1	48	0.15
15	372	1	72	0.16
16	396	1	96	0.17
17	420	1	20	0.18
18	444	1	44	0.19
19	468	1	68	0.2
20	492	1	92	0.21
21	516	1	16	0.22
22	540	1	40	0.23
23	564	1	64	0.24
24	588	1	88	0.25
25	612	2	13	0.26
26	636	2	37	0.27
27	660	2	61	0.28
28	684	2	85	0.29
29	708	2	9	0.3
30	732	2	33	0.31
31	756	2	57	0.32
32	780	2	81	0.33
33	804	2	5	0.34
34	828	2	29	0.35
35	852	2	53	0.36
36	876	2	77	0.37
37	900	2	1	0.38
38	924	2	25	0.39
39	948	2	49	0.4
40	972	2	73	0.41
41	996	2	97	0.42
42	62	1	62	0.43
43	87	1	87	0.44
44	112	3	14	0.45
45	137	2	38	0.46
46	162	2	63	0.47
47	187	3	89	0.48
48	212	4	15	0.49
49	237	3	39	0.5
50	262	4	65	0.51
51	287	4	90	0.52
52	312	6	17	0.53
53	337	5	41	0.54
54	362	5	66	0.55
55	387	5	91	0.56
56	412	7	18	0.57
57	437	6	42	0.58
58	462	6	67	0.59
59	487	7	93	0.6
60	512	8	19	0.61
61	537	7	43	0.62
62	562	8	69	0.63
63	587	8	94	0.64
64	25	2	26	0.65
65	637	9	45	0.66
66	662	9	70	0.67
67	687	9	95	0.68
68	712	10	21	0.69
69	737	10	46	0.7
70	762	10	71	0.71
71	787	12	98	0.72
72	812	11	22	0.73
73	837	11	47	0.74
74	862	13	74	0.75
75	887	13	99	0.76
76	912	12	23	0.77
77	937	14	50	0.78
78	962	14	75	0.79
79	987	16	2	0.8
80	92	12	3	0.81
81	118	10	27	0.82
82	144	8	51	0.83
83	170	9	78	0.84
84	196	11	6	0.85
85	222	9	30	0.86
86	248	7	54	0.87
87	274	6	79	0.88
88	0	8	7	0.89
89	326	6	31	0.9
90	352	4	55	0.91
91	378	5	82	0.92
92	404	7	10	0.93
93	430	5	34	0.94
94	456	3	58	0.95
95	482	2	83	0.96
96	508	4	11	0.97
97	534	2	35	0.98
98	560	27	86	0.99
99	586	74	59	1
0	563	1	63	0.01
1	587	1	87	0.02
2	611	1	11	0.03
3	635	1	35	0.04
4	659	1	59	0.05
5	683	1	83	0.06
6	707	1	7	0.07
7	731	1	31	0.08
8	755	1	55	0.09
9	779	1	79	0.1
10	803	1	3	0.11
11	827	1	27	0.12
12	851	1	51	0.13
13	875	1	75	0.14
14	899	1	99	0.15
15	923	1	23	0.16
16	947	1	47	0.17
17	971	1	71	0.18
18	995	1	95	0.19
